Pop,year,Topt,B50,B80,CriticalBreadth,LTL,UTL,PerformanceMax,Area
N1,2010,32.14,21.41,12.98,37.22,8.96,46.18,0.42,33.11
N1,2017,32.88,21.92,13.33,37.45,8.71,46.15,0.42,33.92
N2,2010,32.98,22.18,13.55,36.73,9.02,45.75,0.42,33.65
N2,2017,32.71,21.57,13.11,36.82,9.56,46.38,0.46,35.9
C1,2010,32.05,23.41,14.4,37.16,8.8,45.96,0.51,43.2
C1,2017,32.58,22.85,13.99,37.35,8.88,46.23,0.5,41.63
C2,2010,32.8,22.47,13.73,37.16,8.56,45.72,0.51,41.92
C2,2017,32.62,22.56,13.77,37.46,8.52,45.98,0.53,43.42
S1,2010,33.14,23.6,14.46,38.42,8.31,46.73,0.5,42.91
S1,2017,33.75,22.29,13.56,38.03,8.17,46.2,0.56,45.2
S2,2010,33.53,22.88,13.98,37.95,8.3,46.25,0.53,43.63
S2,2017,33.23,22.59,13.81,37.17,8.91,46.08,0.55,44.84